Kode Satker;Nama Satker;Jan;Feb;Mar;Apr
007034;KEJARI TJB;✅;✅;✅;🟨
007080;KEJARI TJT;✅;✅;✅;✅
009720;CABJARI TJT DI NIPAH PANJANG;✅;✅;✅;✅
098917;PN KUALA TUNGKAL;✅;✅;✅;🟨
099222;PN KUALA TUNGKAL;✅;✅;✅;🟥
402205;PA KUALA TUNGKAL;✅;✅;✅;✅
402206;PA KUALA TUNGKAL;✅;✅;✅;✅
418255;KEMENAG TJB;✅;✅;✅;✅
418256;KEMENAG TJB;✅;✅;✅;✅
418257;KEMENAG TJB;✅;✅;✅;✅
418260;KEMENAG TJB;✅;✅;✅;🟥
418988;SEKRETARIAT BAWASLU KAB TJT;✅;✅;✅;🟨
419203;BNN KAB TJT;✅;✅;✅;🟥
425953;MTSN 1 TJT;✅;✅;✅;🟨
425962;MTSN 1 TJB;✅;✅;✅;🟥
426004;MAN 1 TJB;✅;✅;✅;🟥
428176;BPS TJB;✅;✅;✅;🟥
431060;KANTOR PERTANAHAN TJB;✅;✅;✅;✅
477400;PN TJT;✅;✅;✅;✅
477402;PN TJT;✅;✅;✅;🟥
500157;KPPN KUALA TUNGKAL PENYALUR DANA TRANSFER UMUM;✅;✅;✅;✅
521616;UPP NIPAH PANJANG;✅;✅;✅;🟥
553082;MTSN 2 TJT;✅;✅;✅;🟨
559271;UPP KUALA MENDAHARA;✅;✅;✅;🟥
600085;KPPN KUALA TUNGKAL PENYALUR DANA TRANSFER KHUSUS;✅;✅;✅;✅
603540;MTSN 3 TJT;✅;✅;✅;✅
622042;KSOP KUALA TUNGKAL;✅;✅;✅;✅
632022;PA MUARA SABAK;✅;✅;✅;✅
632023;PA MUARA SABAK;✅;✅;✅;🟥
634497;KPPN KUALA TUNGKAL;✅;✅;✅;✅
635251;KEMENAG KAB TJT;✅;✅;✅;🟥
635252;KEMENAG KAB TJT;✅;✅;✅;🟥
635253;KEMENAG KAB TJT;✅;✅;✅;🟥
635255;KEMENAG KAB TJT;✅;✅;✅;🟥
637084;BPS KAB. TANJUNG JABUNGTIMUR;✅;✅;✅;✅
637511;KANTOR PERTANAHAN TJT;✅;✅;✅;✅
641440;POLRES TJB;✅;✅;✅;✅
650812;POLRES TJT;✅;✅;✅;✅
652538;KSOP MUARA SABAK;✅;✅;✅;✅
656439;KPU  KAB TJT;✅;✅;✅;🟥
656443;KPU  KAB TJB;✅;✅;✅;🟨
662084;MAN 1 TJT;✅;✅;✅;✅
663520;KPP PRATAMA KUALA TUNGKAL;✅;✅;✅;✅
674991;MAN 2 TJB;✅;✅;✅;✅
676370;MTSN 4 TJT;✅;✅;✅;🟨
680235;MAN 2 TJT;✅;✅;✅;🟨
681024;MTSN 2 TJB;✅;✅;✅;🟥
681052;MTSN 3 TJB;✅;✅;✅;🟨
692326;LAPAS KELAS II B KUALA TUNGKAL;✅;✅;✅;🟥
692775;LAPAS NARKOTIKA KELAS II B MUARA SABAK;✅;✅;✅;✅
692800;KANTOR IMIGRASI KELAS II TPI KUALA TUNGKAL;✅;✅;✅;✅
700277;KPPN KUALA TUNGKAL PENYALUR DANA DESA, INSENTIF FISKAL, OTONOMI KHUSUS DAN KEISTIMEWAAN;✅;✅;✅;✅
