Kode Satker,Nama Satker,Jan,Feb,Mar,Apr
477402,PENGADILAN NEGERI TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
477400,PENGADILAN NEGERI TANJUNG JABUNG TIMUR,✅,✅,✅,✅
650812,POLRES TANJUNG JABUNG TIMUR,✅,✅,✅,✅
634497,KANTOR PELAYANAN PERBENDAHARAAN NEGARA KUALA TUNGKAL,✅,✅,✅,✅
428176,BADAN PUSAT STATISTIK KAB. TANJUNG JABUNG BARAT,✅,✅,✅,⚠️
419203,BADAN NARKOTIKA NASIONAL KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
700277,"KPPN KUALA TUNGKAL PENYALUR DANA DESA, INSENTIF FISKAL, OTONOMI KHUSUS DAN KEISTIMEWAAN",✅,✅,✅,✅
500157,KPPN KUALA TUNGKAL PENYALUR DANA TRANSFER UMUM,✅,✅,✅,✅
009720,CABANG KEJAKSAAN NEGERI TANJUNG JABUNG TIMUR DI NIPAH PANJANG,✅,✅,✅,✅
600085,KPPN KUALA TUNGKAL PENYALUR DANA TRANSFER KHUSUS,✅,✅,✅,✅
637084,BADAN PUSAT STATISTIK KAB. TANJUNG JABUNGTIMUR,✅,✅,✅,✅
652538,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN MUARA SABAK,✅,✅,✅,✅
007080,KEJAKSAAN NEGERI TANJUNG JABUNG TIMUR,✅,✅,✅,✅
098917,PENGADILAN NEGERI KUALA TUNGKAL,✅,✅,✅,✅
418988,SEKRETARIAT BAWASLU KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,✅
007034,KEJAKSAAN NEGERI TANJUNG JABUNG BARAT,✅,✅,✅,✅
663520,KANTOR PELAYANAN PAJAK PRATAMA KUALA TUNGKAL,✅,✅,✅,✅
418257,KANTOR KEMENTERIAN AGAMA KAB. TANJUNG JABUNG BARAT,✅,✅,✅,✅
641440,POLRES TANJUNG JABUNG BARAT,✅,✅,✅,✅
637511,KANTOR PERTANAHAN KAB. TANJUNG JABUNG TIMUR,✅,✅,✅,✅
559271,UNIT PENYELENGGARA PELABUHAN KUALA MENDAHARA,✅,✅,✅,⚠️
431060,KANTOR PERTANAHAN KAB. TANJUNG JABUNG BARAT,✅,✅,✅,✅
622042,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN KUALA TUNGKAL,✅,✅,✅,✅
632022,PENGADILAN AGAMA MUARA SABAK,✅,✅,✅,✅
418256,KANTOR KEMENTERIAN AGAMA KAB. TANJUNG JABUNG BARAT,✅,✅,✅,✅
402206,PENGADILAN AGAMA KUALA TUNGKAL,✅,✅,✅,✅
3.6928,KANTOR IMIGRASI KELAS II TPI KUALA TUNGKAL,✅,✅,✅,✅
635253,KANTOR KEMENTERIAN AGAMA KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
635252,KANTOR KEMENTERIAN AGAMA KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
635251,KANTOR KEMENTERIAN AGAMA KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
632023,PENGADILAN AGAMA MUARA SABAK,✅,✅,✅,⚠️
635255,KANTOR KEMENTERIAN AGAMA KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
418255,KANTOR KEMENTERIAN AGAMA KAB. TANJUNG JABUNG BARAT,✅,✅,✅,✅
692326,LAPAS KELAS II B KUALA TUNGKAL,✅,✅,✅,⚠️
099222,PENGADILAN NEGERI KUALA TUNGKAL,✅,✅,✅,⚠️
521616,UNIT PENYELENGGARA PELABUHAN NIPAH PANJANG,✅,✅,✅,⚠️
418260,KANTOR KEMENTERIAN AGAMA KAB. TANJUNG JABUNG BARAT,✅,✅,✅,⚠️
656439,KPU  KABUPATEN TANJUNG JABUNG TIMUR,✅,✅,✅,⚠️
656443,KPU  KABUPATEN TANJUNG JABUNG BARAT,✅,✅,✅,🟥
426004,MADRASAH ALIYAH NEGERI 1 TANJUNG JABUNG BARAT KAB. TANJUNG JABUNG BARAT,✅,✅,✅,⚠️
425962,MADRASAH TSANAWIYAH NEGERI 1 TANJUNG JABUNG BARAT KAB. TANJUNG JABUNG BARAT,✅,✅,✅,⚠️
681052,MADRASAH TSANAWIYAH NEGERI 3 TANJUNG JABUNG BARAT KAB. TANJUNG JABUNG BARAT,✅,✅,✅,✅
603540,MADRASAH TSANAWIYAH NEGERI 3 TANJUNG JABUNG TIMUR KAB. TANJUNG JABUNG TIMUR,✅,✅,✅,✅
662084,MADRASAH ALIYAH NEGERI 1 TANJUNG JABUNG TIMUR KAB. TANJUNG JABUNG TIMUR,✅,✅,✅,✅
681024,MADRASAH TSANAWIYAH NEGERI 2 TANJUNG JABUNG BARAT KAB. TANJUNG JABUNG BARAT,✅,✅,✅,⚠️
692775,LAPAS NARKOTIKA KELAS II B MUARA SABAK,✅,✅,✅,✅
